epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4116.64,0.48465,0.45398,0.93354,0.42552,0.73585,0.4761,0.4537,0.44618,0.60349,0.94295,0.00321169,0.00107056,0.00321169,0.00107056,0.00321169,0.00107056,0.00321169,0.00107056
31,4235,0.50469,0.48013,0.95009,0.42327,0.73585,0.47205,0.44687,0.44606,0.63015,0.95268,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
32,4364.49,0.43455,0.42551,0.88983,0.41264,0.73585,0.48944,0.46102,0.44933,0.59275,0.94621,0.00317456,0.00105819,0.00317456,0.00105819,0.00317456,0.00105819,0.00317456,0.00105819
33,4483.72,0.49443,0.43011,0.93067,0.44074,0.68585,0.47353,0.43757,0.45086,0.61836,0.94549,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
34,4611.9,0.50403,0.41296,0.93325,0.44084,0.7153,0.47512,0.43965,0.44569,0.6415,0.94008,0.00313744,0.00104581,0.00313744,0.00104581,0.00313744,0.00104581,0.00313744,0.00104581
35,4733.55,0.50615,0.41302,0.92885,0.42483,0.73381,0.45395,0.42625,0.44624,0.76048,0.94045,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
36,4865.23,0.50426,0.45274,0.93617,0.43655,0.70151,0.50181,0.46872,0.46162,0.62172,0.95805,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344,0.00310031,0.00103344
37,4984.76,0.51681,0.44307,0.95814,0.43171,0.71085,0.50277,0.46984,0.45667,0.59892,0.95082,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
38,5114.84,0.46426,0.41424,0.93515,0.4337,0.70412,0.53019,0.49797,0.45263,0.59004,0.93873,0.00306319,0.00102106,0.00306319,0.00102106,0.00306319,0.00102106,0.00306319,0.00102106
39,5234.88,0.46723,0.40818,0.90737,0.43298,0.73585,0.53122,0.50326,0.44702,0.57596,0.93701,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
40,5363.85,0.48354,0.43218,0.93311,0.44606,0.71085,0.51767,0.4781,0.44924,0.59547,0.94506,0.00302606,0.00100869,0.00302606,0.00100869,0.00302606,0.00100869,0.00302606,0.00100869
41,5482.44,0.49248,0.42728,0.94728,0.44566,0.71085,0.49844,0.47015,0.45227,0.645,0.94363,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
42,5610.51,0.48665,0.43549,0.92152,0.42675,0.73585,0.47425,0.44766,0.44712,0.73608,0.9422,0.00298894,0.000996313,0.00298894,0.000996313,0.00298894,0.000996313,0.00298894,0.000996313
43,5729.86,0.52499,0.42443,0.9501,0.44067,0.6851,0.5019,0.47443,0.44403,0.72726,0.93924,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
