epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,862.977,0.61667,1.78297,1.10969,0.44395,0.68641,0.51408,0.46345,0.58723,0.73694,1.28463,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175,0.000525,0.000175
2,1604.03,0.63574,1.55664,1.13625,0.44712,0.68113,0.5005,0.45138,0.5821,0.63866,1.27602,0.00106597,0.000355322,0.00106597,0.000355322,0.00106597,0.000355322,0.00106597,0.000355322
3,2544.19,0.60689,1.27025,1.10082,0.68078,0.72632,0.49496,0.44479,0.6161,0.71099,1.2985,0.00158466,0.00052822,0.00158466,0.00052822,0.00158466,0.00052822,0.00158466,0.00052822
4,3463.83,0.52232,0.91989,1.03605,0.69602,0.65904,0.53512,0.4829,0.60778,0.67392,1.28551,0.00208108,0.000693692,0.00208108,0.000693692,0.00208108,0.000693692,0.00208108,0.000693692
5,4369.96,0.59901,0.94484,1.10567,0.47121,0.66063,0.51374,0.46062,0.5902,0.63123,1.27609,0.00255522,0.00085174,0.00255522,0.00085174,0.00255522,0.00085174,0.00255522,0.00085174
6,5146.46,0.55667,0.74083,1.02942,0.65708,0.69825,0.47857,0.43129,0.59428,0.68042,1.30531,0.00300709,0.00100236,0.00300709,0.00100236,0.00300709,0.00100236,0.00300709,0.00100236
7,7464.68,0.53301,0.68422,1.00795,0.69058,0.66085,0.48106,0.43947,0.53952,0.70352,1.24682,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,8369.06,0.51113,0.63427,1.02443,0.66429,0.68585,0.46403,0.4258,0.52508,0.78263,1.2021,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,9126.26,0.53701,0.65931,1.01151,0.67441,0.69719,0.49341,0.45072,0.53333,0.70864,1.18103,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,9897.22,0.53088,0.60235,1.01545,0.72221,0.63021,0.51775,0.47967,0.52412,0.70136,1.17454,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,10601.2,0.52415,0.64603,0.9982,0.42921,0.68056,0.51591,0.47694,0.53906,0.67204,1.22296,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,11318.5,0.49014,0.57822,0.97798,0.41584,0.6674,0.5211,0.47601,0.51742,0.68022,1.18898,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,12034.5,0.49714,0.57483,0.97518,0.68078,0.66085,0.51066,0.47563,0.50129,0.76316,1.1789,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,12751.1,0.50112,0.58648,1.00672,0.681,0.71085,0.49715,0.46147,0.51263,0.74985,1.19065,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,13459.5,0.46966,0.55808,1.00544,0.69043,0.73035,0.54096,0.50609,0.50502,0.6841,1.19102,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,14284,0.50057,0.55687,1.00606,0.69746,0.73113,0.55512,0.51255,0.50296,0.67533,1.18996,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,15189.1,0.49518,0.50503,0.98781,0.72031,0.63988,0.56372,0.52694,0.50499,0.68592,1.18839,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,16451.2,0.49306,0.54519,0.99755,0.70702,0.65584,0.55289,0.52299,0.49405,0.63219,1.1697,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,17334.6,0.51245,0.53,1.00461,0.69351,0.62753,0.50801,0.47941,0.49165,0.71361,1.17482,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
20,18232.3,0.47544,0.51615,0.97211,0.72578,0.60424,0.54689,0.51321,0.47432,0.66985,1.14905,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
21,19117.8,0.46024,0.50631,0.96842,0.72269,0.70613,0.58887,0.5502,0.49886,0.69801,1.19483,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
22,20023.2,0.45364,0.4809,0.9449,0.70187,0.7024,0.53243,0.49034,0.51505,0.82211,1.17939,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
23,894.089,0.46064,0.54671,0.96136,0.68088,0.72934,0.52942,0.49487,0.49347,0.66926,1.14708,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
24,1802.09,0.43422,0.50032,0.94902,0.68356,0.7292,0.52249,0.48699,0.48921,0.75493,1.13076,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
25,2682.92,0.43604,0.49384,0.95429,0.67622,0.72591,0.52547,0.48982,0.49466,0.68444,1.1428,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
26,3548.11,0.38398,0.41513,0.93482,0.67861,0.73585,0.49901,0.46859,0.49235,0.7069,1.14304,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
27,4533.96,0.42729,0.47523,0.96348,0.67766,0.73585,0.52154,0.48792,0.49317,0.8088,1.15417,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
28,5507.34,0.39976,0.43326,0.92684,0.67979,0.72548,0.51371,0.47529,0.51871,0.80764,1.21314,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
29,6494.97,0.39833,0.44879,0.91869,0.69113,0.67878,0.52913,0.49157,0.54182,0.81272,1.25542,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
30,7471.56,0.39518,0.433,0.9374,0.68469,0.69106,0.48513,0.44778,0.52991,0.91675,1.22888,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,8448.32,0.39867,0.46233,0.92335,0.68893,0.6832,0.48915,0.45795,0.50224,0.87375,1.19257,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,899.072,0.36391,0.4119,0.91023,0.68342,0.70729,0.49364,0.45823,0.50846,0.82537,1.1919,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,1818.17,0.34523,0.383,0.90015,0.67911,0.68383,0.50346,0.46524,0.51199,0.81563,1.18096,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,2713.05,0.33675,0.36834,0.90496,0.70361,0.65613,0.52582,0.48541,0.51936,0.74594,1.19934,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,3596.06,0.29349,0.31376,0.887,0.6906,0.68585,0.50566,0.46675,0.5054,0.72306,1.19523,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
