epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1922.12,0.80287,0.63256,1.04713,0.99097,0.9562,0.97575,0.81477,0.56379,0.44453,0.89187,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043
31,1977.16,0.78944,0.58408,1.00302,0.98496,0.95582,0.9774,0.8171,0.55538,0.44987,0.88136,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
32,2032.48,0.72679,0.51925,0.97251,0.98877,0.94891,0.97531,0.80746,0.58084,0.45485,0.90026,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
33,2087.1,0.81748,0.66593,1.07121,0.98062,0.9562,0.97921,0.82069,0.56099,0.46269,0.88286,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
34,2142.81,0.79516,0.58339,0.97925,0.99248,0.96281,0.98057,0.83135,0.54755,0.45009,0.88168,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
35,2197.03,0.6727,0.53159,0.93395,0.98874,0.9562,0.98012,0.82332,0.54608,0.44864,0.88176,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
36,2251.25,0.70222,0.485,0.97013,0.98493,0.9635,0.97437,0.83265,0.5547,0.43203,0.88942,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
37,2311,0.71734,0.53265,0.98639,0.97008,0.94658,0.97863,0.83834,0.53518,0.43741,0.87206,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
38,2365.61,0.63575,0.54141,0.94618,0.97712,0.94161,0.97968,0.83448,0.52994,0.43813,0.87464,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
39,2421.47,0.71476,0.57326,0.95936,0.97456,0.94161,0.97892,0.83945,0.52313,0.43599,0.86752,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
40,2473.49,0.74285,0.55861,0.97674,0.94775,0.9562,0.97199,0.83543,0.52917,0.43317,0.87499,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
41,2525.55,0.62952,0.48614,0.91461,0.95151,0.9562,0.97353,0.84348,0.53019,0.42571,0.87837,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
42,2577.84,0.57074,0.49705,0.90504,0.94107,0.9635,0.97354,0.8406,0.53662,0.41786,0.88367,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647
43,2633.92,0.66369,0.50063,0.94677,0.96971,0.93483,0.97427,0.84314,0.534,0.41007,0.88491,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
44,2686.9,0.76047,0.57188,0.9432,0.99217,0.92523,0.97421,0.84919,0.52924,0.39995,0.89186,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581
45,2739.4,0.68291,0.52824,0.94986,0.99231,0.94199,0.97452,0.84804,0.52021,0.38999,0.88778,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
46,2791.74,0.64644,0.4981,0.93996,0.98249,0.9562,0.97453,0.84209,0.50839,0.39172,0.88355,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
47,2843.76,0.60241,0.5167,0.94751,0.97032,0.95464,0.98168,0.84706,0.51262,0.38305,0.88258,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
48,2895.7,0.63898,0.51847,0.91805,0.97493,0.94891,0.98143,0.84794,0.50498,0.38576,0.88109,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449
49,2947.67,0.66725,0.58551,0.9624,0.96186,0.92045,0.97878,0.85798,0.49349,0.39263,0.87375,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
50,2999.56,0.71433,0.48964,1.05787,0.9656,0.94161,0.97915,0.85829,0.49291,0.40208,0.87211,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383
51,3051.44,0.67772,0.53308,0.97674,0.96988,0.94003,0.97898,0.85447,0.49066,0.40759,0.87089,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
52,3103.5,0.62256,0.55572,0.95804,0.96979,0.93715,0.97959,0.85555,0.48162,0.40404,0.86553,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
53,3155.51,0.6107,0.45269,0.92911,0.96194,0.93431,0.97918,0.85228,0.4782,0.39882,0.86529,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
54,3207.54,0.55337,0.41358,0.92029,0.96984,0.93902,0.97926,0.85005,0.47449,0.39684,0.86464,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251
55,3259.6,0.57157,0.46781,0.92468,0.95578,0.94658,0.97896,0.85261,0.47269,0.39597,0.86482,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
56,3311.67,0.5529,0.43875,0.90755,0.95797,0.94161,0.97842,0.85132,0.47058,0.3914,0.86489,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
57,3363.62,0.5372,0.43554,0.90361,0.96791,0.94161,0.9786,0.85435,0.46981,0.38633,0.86514,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
58,3415.73,0.58823,0.45247,0.94752,0.97212,0.94161,0.97838,0.85844,0.46712,0.38364,0.86477,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
59,3468.27,0.53047,0.43694,0.90458,0.9809,0.94161,0.9783,0.8594,0.46576,0.38211,0.86542,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
60,3520.4,0.57086,0.45006,0.90792,0.97465,0.94161,0.97806,0.86018,0.46384,0.38271,0.86512,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05
